n,chain,entity,type,address,source,page_loaded,address_on_page,label_quote,screenshot,verdict,note
1,btc,Binance,exchange,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,https://www.walletexplorer.com/address/1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,yes,yes,part of wallet Binance.com,data/entity-checks/01-btc-Binance.png,OK,"Blockchair renders its data with JavaScript and showed nothing to the agent; source changed to WalletExplorer, which states the wallet in plain text"
2,btc,Kraken,exchange,3MCMZjWAMdGqAhi1iF1oyiiE2jY5yBAYzV,https://www.walletexplorer.com/address/3MCMZjWAMdGqAhi1iF1oyiiE2jY5yBAYzV,true,true,part of wallet Kraken.com,data/entity-checks/02-btc-Kraken.png,OK,Confirmed on WalletExplorer as part of wallet Kraken
3,btc,Bitfinex,exchange,19VNw8EQWKTmN7u1X15hqyWHrymrCCVWdK,https://www.walletexplorer.com/address/19VNw8EQWKTmN7u1X15hqyWHrymrCCVWdK,true,true,part of wallet Bitfinex.com,data/entity-checks/03-btc-Bitfinex.png,OK,Confirmed on WalletExplorer as part of wallet Bitfinex
4,btc,Huobi,exchange,19hx1B4pTDsBAYJJYYrj1t6bcVw1e9omuH,https://www.walletexplorer.com/address/19hx1B4pTDsBAYJJYYrj1t6bcVw1e9omuH,true,true,part of wallet Huobi.com,data/entity-checks/04-btc-Huobi.png,OK,Confirmed on WalletExplorer as part of wallet Huobi
5,btc,Garantex,exchange,3Lpoy53K625zVeE47ZasiG5jGkAxJ27kh1,https://ofac.treasury.gov/recent-actions/20220405,true,true,"GARANTEX EUROPE OU (Latin: GARANTEX EUROPE OÜ), Harju maakond, Kesklinna linnaosa, J., Poska tn 51a/",data/entity-checks/05-btc-Garantex.png,OK,Address confirmed in OFAC SDN entry for Garantex
6,btc,Garantex,exchange,14gM1HuLVDELNHaFU22qpabjtiWek4HhV1,https://ofac.treasury.gov/recent-actions/20220405,true,true,"GARANTEX EUROPE OU (Latin: GARANTEX EUROPE OÜ), Harju maakond, Kesklinna linnaosa, J., Poska tn 51a/",data/entity-checks/06-btc-Garantex.png,OK,Address confirmed in OFAC SDN entry for Garantex
7,btc,Blender.io,mixer,3K35dyL85fR9ht7UgzPfd1gLRRXQtNTqE3,https://ofac.treasury.gov/recent-actions/20220506,true,true,BLENDER.IO (a.k.a. @BLENDERIO_ENGLISH; a.k.a. @BLENDERIO_RUSSIAN; a.k.a. @MADEAMAZE_BOT; a.k.a. BLEN,data/entity-checks/07-btc-Blender.io.png,OK,Address confirmed in OFAC SDN entry for Blender.io
8,btc,Blender.io,mixer,3Q5dGfLKkWqWSwYtbMUyc8xGjN5LrRviK4,https://ofac.treasury.gov/recent-actions/20220506,true,true,BLENDER.IO (a.k.a. @BLENDERIO_ENGLISH; a.k.a. @BLENDERIO_RUSSIAN; a.k.a. @MADEAMAZE_BOT; a.k.a. BLEN,data/entity-checks/08-btc-Blender.io.png,OK,Address confirmed in OFAC SDN entry for Blender.io
9,btc,Blender.io,mixer,3EPqGUw2q89pwPZ1UF8FJspE2AyojSTjdu,https://ofac.treasury.gov/recent-actions/20220506,true,true,BLENDER.IO (a.k.a. @BLENDERIO_ENGLISH; a.k.a. @BLENDERIO_RUSSIAN; a.k.a. @MADEAMAZE_BOT; a.k.a. BLEN,data/entity-checks/09-btc-Blender.io.png,OK,Address confirmed in OFAC SDN entry for Blender.io
10,btc,Blender.io,mixer,3LhnVMcBq4gsR7aDaRr9XmUo17CuYBV4FN,https://ofac.treasury.gov/recent-actions/20220506,true,true,BLENDER.IO (a.k.a. @BLENDERIO_ENGLISH; a.k.a. @BLENDERIO_RUSSIAN; a.k.a. @MADEAMAZE_BOT; a.k.a. BLEN,data/entity-checks/10-btc-Blender.io.png,OK,Address confirmed in OFAC SDN entry for Blender.io
